ID,Titre,Catégorie,Précisions,,,
300,Dictionnaire des artistes exposant dans les Salons des XVII et XVIIIème siècles à Paris et en Province (1673-1800) 3 volumes,124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
304,Bernin : Le sculpteur baroque du romain,118, 6=Phaïdon, 12=Broché, 13=Français, 28=Oui
3051,La chimie et l'art le génie au service de l'homme,160, 12=Ouvrage broché, 13=Français,,
1399,Joseph Csaky du Cubisme à la Figuration réaliste,118, 12=Ouvrage  relié, 13=Français,,
313,Alechinsky. Dessins de cinq décennies,142, 6=Editions du Centre Pompidou, 12=Broché, 13=Français,
322,Carnet d'études ENSBA n°1 - Paysages dessinés de l'école française du XVIIIe siècle,133, 6=ENSBA, 12=Relié, 13=Français,
5985,Niki de Saint Phalle - The Devouring Mothers,230, 12=Ouvrage broché,,,
5859,Danse photographies d'Eugénia Grandchamp des Raux,150, 12=Ouvrage relié, 13=Français,,
328,Le Maître de Moulins,123, 6=Gallimard, 12=Broché, 13=Français,
5861,Ilya et Emilia Kabakov,144, 12=Ouvrage  relié, 13=Français,,
338,Alberti - Humaniste architecte,134, 6=ENSBA, 12=Broché, 13=Français,
342,Les Catalogues des Salons Tome VII (1859-1863 et Salon des Refusés de 1863),124, 6=L'Echelle de Jacob, 12=Broché, 13=Français,
5893,Catalogue d'exposition Rodin l'accident et l'aléatoire,216, 12=Ouvrage  broché, 13=Français, 28=Oui,
347,Trésors des églises parisiennes,118, 6=Parigramme, 12=Broché, 13=Français,
348,Les Pollaiolo,123, 6=Editions 5 Continents, 12=Broché, 13=Français,
3059,Chefs-d'oeuvre ? Catalogue d'exposition Centre Pompidou-Metz,216, 12=Ouvrage relié, 13=Français, 28=Oui,
5680,Rodtchenko - Photographies,264, 12=Ouvrage relié, 13=Français,,
3049,Richard Deacon the missing part,216, 13=Français,,,
355,La sculpture de la Renaissance dans le Vexin français,178, 6=RMN / Ecole du Louvre, 12=Broché, 13=Français,
362,Catalogue raisonné des peintures italiennes du musée des beaux-arts de Nantes: XIIIe-XVIIIe siècle,146, 6=Musée des Beaux, 13=Français,,
364,François du Quesnoy (1597-1643),166, 6=Arthena, 12=Relié, 13=Français,
365,Charles Coypel (1694 - 1752),165, 6=Arthena, 12=Relié, 13=Français,
366,Noël-Nicolas Coypel (1690 - 1734),165, 6=Arthena, 12=Relié, 13=Français,
367,Louis-Jacques Durameau (1733 - 1796),135, 12=Relié, 13=Français,,
368,Les Patel. Paysagistes du XVIIe siècle,166, 6=Arthena, 12=Relié, 13=Français,
369,Jean-François de Troy (1679 - 1752),166, 6=Arthena, 12=Relié, 13=Français,
376,Le arti di Oggi,134, 6=Vilo, 12=Relié, 13=Italien,
1466,Portraits de la Renaissance,123, 12=Ouvrage relié, 13=Français,,
378,Hommes et Mouvements esthétiques du XXe siècle,160, 6=Cercle d'Art, 12=Broché, 13=Français,
382,Histoire de la Beauté,129, 6=Flammarion, 12=Relié, 13=Français,
1383,Vallotton,125, 6=Editions 5 Continents, 12=Broché, 13=Français,
385,Pierre-Paul Jouve,142, 6=Amateur, 12=Relié, 13=Français,
3047,Pierre Alechinsky enfance de la majuscule,157, 12=Ouvrage broché, 13=Français,,
3046,Hamid Tibouchi l'infini palimpsteste,144, 12=Ouvrage broché, 13=Français,,
391,Odilon Redon : Pastels et Noirs,126, 6=Artlys, 12=Relié, 13=Français,
392,Jacques Lemercier. Architecte et Ingenieur du Roi,134, 6=Maison des Sciences de  l'Homme, 12=Relié, 13=Français,
393,Debat - Ponsan : (Toulouse 1847 - Paris 1913),125, 6=Privat, 12=Broché, 13=Français,
400,Carnet d'études ENSBA n°5 : Jean-Michel Alberola. Cartes de visite vers luisants,144, 6=ENSBA, 12=Broché, 13=Français,
401,L'art au XIX e siècle,129, 6=Hazan, 12=Broché, 13=Français,
402,Carnet d'études ENSBA n°7 - Disegno dessins de Tadeo et de Federico Zuccari,133, 6=ENSBA, 12=Broché, 13=Français,
404,La guia del musée du quai Branly. Edition en espagnol,146, 6=Quai Branly, 12=Broché, 13=Espagnol,
409,Catalogue des peintures sculptures et dessins de Musée de la Révolution française,146, 6=RMN, 12=Broché, 13=Français,
410,Goya. Les Caprices,121, 6=Editions de l'Amateur, 12=Relié, 13=Français,
411,Les Bronzes du XIXe siècle. Dictionnaire des sculpteurs,118, 6=Editions de l'Amateur, 12=Relié, 13=Français,
413,Ingres,125, 6=Terrail, 12=Broché, 13=Français,
414,L'aventure des opposants,142, 6=L'Association, 12=Broché, 13=Français,
415,Le Musée révélé : L'histoire de France au Château de Versailles,146, 6=Robert Laffont, 12=Broché, 13=Français,
416,Regards sur l'objet Roman,128, 6=Actes Sud, 12=Broché, 13=Français,
418,Eugène Devéria 1805-1865,125, 6=RMN, 12=Broché, 13=Français,
419,Pierre Skira,142, 6=Gallimard, 12=Broché, 13=Français,
420,Maurice Denis. Le spirituel dans l'art,197, 6=Gallimard, 12=Poche, 13=Français,
